year,type,predicted_generation_twh
2024.0,Bioenergy,60.08128342245982
2025.0,Bioenergy,62.04100381970966
2026.0,Bioenergy,64.00072421695904
2027.0,Bioenergy,65.96044461420888
2028.0,Bioenergy,67.92016501145872
2024.0,Coal,23.064331550802308
2025.0,Coal,23.64323453017596
2026.0,Coal,24.222137509549384
2027.0,Coal,24.801040488923036
2028.0,Coal,25.37994346829646
2024.0,Gas,71.14775401069528
2025.0,Gas,73.58493659281885
2026.0,Gas,76.02211917494242
2027.0,Gas,78.4593017570669
2028.0,Gas,80.89648433919047
2024.0,Hydro,442.84983957219083
2025.0,Hydro,449.09828418640063
2026.0,Hydro,455.34672880061044
2027.0,Hydro,461.59517341482024
2028.0,Hydro,467.8436180290282
2024.0,Net imports,40.8295721925133
2025.0,Net imports,41.7774132925897
2026.0,Net imports,42.7252543926661
2027.0,Net imports,43.673095492742505
2028.0,Net imports,44.62093659281891
2024.0,Nuclear,19.381122994652515
2025.0,Nuclear,19.88975859434686
2026.0,Nuclear,20.398394194041202
2027.0,Nuclear,20.907029793735774
2028.0,Nuclear,21.415665393430118
2024.0,Other fossil,21.33770053475928
2025.0,Other fossil,21.733031321619478
2026.0,Other fossil,22.128362108479678
2027.0,Other fossil,22.523692895339877
2028.0,Other fossil,22.919023682200077
2024.0,Solar,13.362513368983855
2025.0,Solar,13.924035141329341
2026.0,Solar,14.4855569136746
2027.0,Solar,15.047078686019859
2028.0,Solar,15.608600458365117
2024.0,Wind,53.605294117646736
2025.0,Wind,55.75957983193257
2026.0,Wind,57.9138655462184
2027.0,Wind,60.06815126050424
2028.0,Wind,62.22243697479007
